entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol,symbol_name,display_symbol
2020-09-17,2020-11-30,long,767658.12,1.08,1.341,199801.22,24.0922,46,515030,新能源车ETF,新能源车ETF
2020-11-30,2020-12-09,long,1441385.59,0.606,0.579,-39429.82,-4.5128,7,512800,银行ETF,银行ETF
2020-12-09,2020-12-14,long,615998.66,1.433,1.389,-27625.45,-3.1286,3,515030,新能源车ETF,新能源车ETF
2020-12-14,2020-12-15,long,1513630.37,0.571,0.572,994.61,0.115,1,512800,银行ETF,银行ETF
2020-11-26,2020-12-24,long,353221.84,2.493,2.472,-7943.78,-0.9018,20,512100,中证1000ETF,中证1000ETF
2020-12-24,2021-01-05,long,1229336.68,0.754,0.783,35083.92,3.7839,7,512170,医疗ETF,医疗ETF
2020-11-26,2021-01-14,long,342638.93,2.57,3.1,181015.8,20.5502,34,512010,医药ETF,医药ETF
2021-01-14,2021-01-15,long,178161.18,5.544,5.441,-18937.73,-1.9167,1,510300,沪深300ETF,沪深300ETF
2021-01-05,2021-01-20,long,335553.18,2.94,2.992,16851.61,1.7077,11,159915,创业板ETF,创业板ETF
2020-12-15,2021-01-20,long,609294.3,1.433,1.691,156626.9,17.9334,25,515030,新能源车ETF,新能源车ETF
2021-01-20,2021-01-21,long,177860.82,5.478,5.525,7772.36,0.7975,1,510300,沪深300ETF,沪深300ETF
2021-01-20,2021-01-21,long,1584262.76,0.615,0.611,-6919.74,-0.71,1,512800,银行ETF,银行ETF
2021-01-21,2021-01-22,long,557222.82,1.75,1.786,19468.92,1.9959,1,515030,新能源车ETF,新能源车ETF
2021-01-15,2021-01-25,long,729340.05,1.328,1.318,-7872.35,-0.8125,6,512760,半导体ETF,半导体ETF
2021-01-25,2021-01-26,long,547672.51,1.85,1.826,-13748.11,-1.3565,1,515030,新能源车ETF,新能源车ETF
2021-01-26,2021-01-28,long,759101.02,1.334,1.288,-35515.76,-3.5062,2,512760,半导体ETF,半导体ETF
2021-01-28,2021-01-29,long,559364.23,1.756,1.736,-11773.27,-1.1983,1,515030,新能源车ETF,新能源车ETF
2021-01-29,2021-02-01,long,746188.34,1.268,1.23,-28914.35,-3.055,1,512760,半导体ETF,半导体ETF
2021-01-21,2021-02-02,long,314257.15,3.103,3.062,-13465.76,-1.3805,8,159915,创业板ETF,创业板ETF
2021-02-02,2021-02-05,long,299792.02,3.178,3.216,10817.04,1.135,3,512010,医药ETF,医药ETF
2021-02-01,2021-02-18,long,1551293.88,0.603,0.647,67675.2,7.2325,8,512800,银行ETF,银行ETF
2021-02-05,2021-02-19,long,308206.03,3.102,3.191,26848.47,2.8074,5,159915,创业板ETF,创业板ETF
2021-02-19,2021-02-22,long,1497634.3,0.65,0.648,-3578.45,-0.3675,1,512800,银行ETF,银行ETF
2021-02-22,2021-02-23,long,167079.74,5.827,5.592,-39836.1,-4.0905,1,510300,沪深300ETF,沪深300ETF
2021-02-08,2021-02-25,long,293346.13,3.315,3.078,-70085.64,-7.205,8,512010,医药ETF,医药ETF
2021-02-25,2021-03-02,long,164706.33,5.523,5.488,-6308.8,-0.6933,3,510300,沪深300ETF,沪深300ETF
2021-03-02,2021-03-19,long,594246.78,2.452,2.335,-70380.27,-4.8287,13,512100,中证1000ETF,中证1000ETF
2021-03-19,2021-03-24,long,393610.12,3.569,3.567,-1629.86,-0.116,3,518880,黄金ETF,黄金ETF
2021-03-24,2021-03-25,long,590009.81,2.348,2.316,-19705.86,-1.422,1,512100,中证1000ETF,中证1000ETF
2021-01-22,2021-03-26,long,1128650.47,0.877,2.184,1474109.72,148.8814,40,512170,医疗ETF,医疗ETF
2021-03-26,2021-03-31,long,590890.2,2.327,2.359,18077.81,1.3144,3,512100,中证1000ETF,中证1000ETF
2021-03-31,2021-04-01,long,1319794.65,1.051,1.039,-16665.05,-1.2011,1,512880,证券ETF,证券ETF
2021-04-01,2021-04-02,long,582021.89,2.365,2.392,14883.99,1.081,1,512100,中证1000ETF,中证1000ETF
2021-02-23,2021-04-02,long,1463299.43,0.636,0.629,-10798.42,-1.16,28,512800,银行ETF,银行ETF
2021-03-25,2021-04-07,long,381376.46,3.588,3.602,4516.64,0.33,8,518880,黄金ETF,黄金ETF
2021-04-07,2021-04-08,long,911823.23,1.516,1.496,-19060.39,-1.3785,1,515030,新能源车ETF,新能源车ETF
2021-04-02,2021-04-13,long,467813.23,2.964,2.809,-73321.26,-5.2863,6,512010,医药ETF,医药ETF
